Mr.	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
Mrs.	23540426085914504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
Dr.	5054068684647173000000000000000000000000000000000000000000000000000000000000000000000.000000
St.	8148719424650850000000000000000000000000000000000000000000000000000000000.000000
U.S.	53557626841392800000000000000000000000000000000000000000000000000000000.000000
Jr.	22695270665514840000000000000000000.000000
etc.	267288058442947380000000000.000000
Fig.	96634154336106200000000000.000000
p.m.	1645692130334118000000000.000000
U.N.	593991593199249400000000.000000
i.e.	60615473118464240000.000000
J.	28691652208831447000.000000
Sept.	1961084207371047.200000
e.g.	753375645478790.900000
Sen.	95585346231202.880000
Oct.	12073593755706.654000
a.m.	4282984710928.373500
Co.	893377963430.759800
D.C.	536699552735.138000
W.	122554660801.835890
Gen.	66823239454.196266
Nov.	8257098190.522305
Aug.	8257098190.522305
Inc.	2892959691.205992
B.C.	2892959691.205992
Feb.	1011044381.832550
Gov.	1011044381.832550
v.	904613301.683825
Dec.	122426097.402988
Calif.	16568570.567586
fig.	11741046.956477
Rep.	1714689.019211
Ave.	1714689.019211
N.Y.	582274.127045
A.M.	582274.127045
Ill.	582274.127045
U.	284789.535505
L.	249184.155158
S.	114569.704352
A.D.	65668.139495
Av.	59101.150607
Jan.	54262.016895
Corp.	53998.794511
A.L.A.M.	31405.624882
Figs.	24157.958460
Fla.	21742.098258
Op.	19326.252358
Lt.	19326.252358
figs.	7998.470957
P.M.	7109.730917
Sec.	7109.730917
N.C.	7109.730917
H.	6397.920013
Mo.	6220.996139
cf.	6220.996139
Sr.	6220.996139
G.	4014.415774
M.	3071.292482
Ala.	2288.576583
E.	1965.340830
Va.	1961.631265
Col.	721.643814
Tex.	721.643814
gm.	659.791490
Ga.	601.368065
Pp.	601.368065
Md.	601.368065
Mt.	601.368065
F.	503.553009
cu.	329.889936
lb.	243.424660
vs.	235.471232
Drs.	221.230948
I.Q.	221.230948
S.K.	221.230948
lbs.	221.230948
Ltd.	221.230948
pp.	176.984234
Ch.	176.984234
cc.	176.984234
sq.	176.984234
D.	147.739259
R.	124.426567
m.p.h.	97.663870
Ariz.	81.386317
Capt.	81.386317
Hon.	65.108861
Ref.	65.108861
dia.	65.108861
M.A.	65.108861
K.	51.779782
Rd.	48.831501
Y.	45.535741
U.S.S.R.	41.916742
O.	39.204884
Prof.	23.952211
Stat.	23.952211
Blvd.	23.952211
Atty.	23.952211
P.	22.608536
ft.	18.892953
Ore.	17.964105
D.A.	17.964105
i.d.	17.964105
eqn.	17.964105
Kan.	17.964105
A.B.	17.964105
sec.	17.964105
mm.	13.766642
oz.	11.976035
Wm.	11.976035
ca.	11.976035
Ky.	11.976035
kc.	11.976035
pl.	11.976035
Eq.	11.976035
chap.	11.430570
Rev.	11.142366
U.S.A.	8.811526
C.	7.163148
Bldg.	6.608625
Dist.	6.608625
Okla.	6.608625
Dept.	6.608625
Mich.	6.608625
Conn.	6.608625
w.	5.988000
D.W.	4.405737
R.H.	4.405737
N.J.	4.405737
Ind.	4.405737
Rte.	4.405737
Vol.	4.405737
B.A.	4.405737
M.P.	4.405737
H.M.	4.405737
F.R.	4.405737
T.W.	4.405737
S.C.	4.405737
O.K.	4.405737
U.N.F.P.	4.051986
O.E.C.D.	4.051986
mg.	3.450579
H.M.S.	2.431177
A.M.A.	2.431177
P.D.I.	2.431177
F.D.R.	2.431177
yd.	2.202862
Ry.	2.202862
mc.	2.202862
nw.	2.202862
Cf.	2.202862
Ct.	2.202862
Pt.	2.202862
Vs.	2.202862
N.	1.769463
Reps.	1.620780
Prop.	1.620780
Mont.	1.620780
Assn.	1.620780
Supt.	1.620780
dept.	1.620780
S.S.	0.810388
K.G.	0.810388
Rul.	0.810388
viz.	0.810388
D.J.	0.810388
J.H.	0.810388
Wis.	0.810388
R.L.	0.810388
Yok.	0.810388
Jas.	0.810388
Dak.	0.810388
B.D.	0.810388
W.M.	0.810388
B.S.	0.810388
McN.	0.810388
Gre.	0.810388
P.L.	0.810388
Maj.	0.810388
Ter.	0.810388
Nev.	0.810388
W.R.	0.810388
H.L.	0.810388
Sha.	0.810388
var.	0.810388
E.O.	0.810388
U.s.	0.810388
USN.	0.810388
N.L.	0.810388
M.D.	0.810388
W.G.	0.810388
Mfg.	0.810388
N.M.	0.810388
seq.	0.810388
T.B.	0.810388
Pfc.	0.810388
E.T.	0.810388
H.W.	0.810388
W.H.	0.810388
Mts.	0.810388
Ath.	0.810388
Cir.	0.810388
Mass.	0.751240
U.S.C.	0.596252
J.D.H.	0.596252
F.B.I.	0.596252
E.G.T.	0.596252
I.R.S.	0.596252
Mar.	0.510500
Messrs.	0.337760
Sens.	0.298125
Msec.	0.298125
Grev.	0.298125
Kans.	0.298125
Chmn.	0.298125
Cmdr.	0.298125
Spec.	0.298125
Aubr.	0.298125
Lond.	0.298125
eqns.	0.298125
Shak.	0.298125
Brig.	0.298125
ex-Mrs.	0.219349
G.O.P.	0.109674
A.A.U.	0.109674
N.Y.U.	0.109674
B.B.C.	0.109674
H.P.R.	0.109674
I.M.F.	0.109674
U.M.T.	0.109674
S.S.R.	0.109674
F.S.C.	0.109674
K.J.P.	0.109674
C.C.B.	0.109674
Penna.	0.109674
A.K.C.	0.109674
D.O.A.	0.109674
A.I.D.	0.109674
I.B.M.	0.109674
L.S.U.	0.109674
R.A.F.	0.109674
U.M.C.I.A.	0.044529
ex-Gov.	0.040347
P.-T.A.	0.040347
C.C.N.Y.	0.014843
Y.M.H.A.	0.014843
C.A.I.P.	0.014843
Y.W.C.A.	0.014843
Y.M.C.A.	0.014843
pro-U.N.F.P.	0.000272
what-will-T.	0.000272
Presbyterian-St.	0.000005
cm.	0.000000
App.	0.000000
Cal.	0.000000
mEq.	0.000000
nos.	0.000000
Del.	-0.014122
fed.	-0.018606
ml.	-0.028950
Tech.	-0.039370
Mmes.	-0.039628
Miss.	-0.058859
Ed.	-0.197107
u.	-0.480059
Pa.	-0.525634
al.	-0.537334
hr.	-0.669996
l.	-0.967655
La.	-1.163696
B.	-3.157025
V.	-3.741740
Q.	-5.479433
No.	-6.759230
p.	-7.249618
T.	-10.666935
no.	-10.860581
A.	-10.898182
I.	-121.831583
in.	-201.256177
a.	-813.267239
