i.e.	26689499564806730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
e.g.	16951431569328530000000000000000000000000000000000000000000000000000000000000000000000000.000000
p.m.	9353744176150070000000000000000000000000000000000000000000000000.000000
a.m.	1320376929899300300000000000000000000000000000.000000
cf.	799975650303950.400000
etc.	11460994790.569525
S.A.	134198082.227686
writing.	3042854.739326
W.	991262.760065
W.G.	638272.394279
Rev.	71983.968553
E.U.	7793.575444
H.-P.	2867.096179
B.C.	2508.708968
U.S.	1977.934330
H.G.	791.059186
S.L.	791.059186
A.D.	791.059186
vs.	659.215939
viz.	135.417969
11 a.m.	124.901265
3 p.m.	107.058219
Doc.	104.360241
Prof.	89.215176
Inc.	71.372135
crust.	65.470669
ff.	53.529097
spp.	34.786722
5 p.m.	32.820429
4 p.m.	32.820429
5B.	20.754248
J.K.	19.692254
E.M.	19.692254
U.N.	19.692254
doc.	19.692254
Sr.	13.128169
Sp.	13.128169
οC.	13.128169
Co.	12.514185
versa.	11.408742
9 p.m.	9.659168
cetera.	6.742064
Β.	6.564084
lapses.	6.243539
ache.	5.617566
author.	5.041847
P.A.	4.829583
Vol.	4.829583
N.J.	4.829583
N.V.	4.829583
onI.	4.829583
J.P.	4.829583
J.J.	4.829583
J.E.	4.829583
D.C.	4.829583
rev.	4.829583
70m.	4.829583
O.K.	4.829583
T.D.	4.829583
F.C.	4.829583
URF.	4.829583
n.v.	4.829583
IPU.	4.829583
7 p.m.	4.707871
IBSFC.	4.707871
2G.	3.128544
12 noon.	3.045127
r.	2.962007
dozy.	2.808782
brew.	2.808782
MIFs.	2.808782
EÚ.	2.414791
DJ.	2.414791
Ok.	2.414791
Qa.	2.414791
KW.	2.414791
Ur.	2.414791
bc.	2.414791
ca.	2.414791
bb.	2.414791
hf.	2.414791
pv.	2.414791
3e.	2.414791
5º.	2.414791
t's.	2.301855
seq.	2.301855
11.30 a.m.	1.960840
Cœur.	1.776704
godz.	1.776704
LTDH.	1.776704
gander.	1.667556
Unquote.	1.307226
A.A.J.G.	1.307226
unquote.	1.307226
IMS.	1.150927
RTK.	1.150927
26a.	1.150927
11a.	1.150927
manor.	1.033293
10 a.m.	0.980420
POSEIs.	0.980420
Langas.	0.980420
Hmm.	0.888352
ora.	0.888352
GEA.	0.888352
ire.	0.888352
Hom.	0.888352
P-N.	0.888352
P.O.	0.888352
SÏS.	0.888352
ovo.	0.888352
3cm.	0.888352
ʻ7b.	0.888352
N.B.	0.888352
EDR.	0.888352
GNA.	0.888352
nag.	0.888352
IIc.	0.888352
L.G.	0.888352
Yeo.	0.888352
Dee.	0.888352
Dec.	0.888352
J.W.	0.888352
J.L.	0.888352
FSF.	0.888352
Tân.	0.888352
vol.	0.888352
tee.	0.888352
RIV.	0.888352
ADs.	0.888352
FVE.	0.888352
deb.	0.888352
AEU.	0.888352
MSA.	0.888352
DJs.	0.888352
13a.	0.888352
CIs.	0.888352
FPI.	0.888352
ria.	0.888352
ICB.	0.888352
S.E.	0.888352
DOC.	0.888352
AAP.	0.888352
SpA.	0.888352
U.K.	0.888352
fhí.	0.888352
D.R.	0.888352
CNI.	0.888352
ΚΕΚ.	0.888352
DST.	0.888352
78a.	0.888352
DUs.	0.888352
PDT.	0.888352
18s.	0.888352
WHP.	0.888352
'5a.	0.888352
Vác.	0.888352
BVS.	0.888352
Ghz.	0.888352
BTB.	0.888352
BUC.	0.888352
FEM.	0.888352
Aye.	0.888352
W.B.	0.888352
W.F.	0.888352
A.J.	0.888352
'7a.	0.888352
SCC.	0.888352
A.L.	0.888352
A.Q.	0.888352
K.P.	0.888352
RTM.	0.888352
r.o.	0.888352
FFS.	0.888352
CCD.	0.888352
G.O.	0.888352
Ind.	0.888352
I.T.	0.888352
pox.	0.888352
I.D.	0.888352
Ada.	0.888352
27m.	0.888352
t’s.	0.888352
UXO.	0.888352
T.G.	0.888352
43m.	0.888352
M.J.	0.888352
M.P.	0.888352
M.V.	0.888352
SOA.	0.888352
SPG.	0.888352
Kid.	0.888352
URL.	0.888352
£4m.	0.888352
43A.	0.888352
C.V.	0.888352
C.N.	0.888352
Drs.	0.888352
R.W.	0.888352
p.a.	0.888352
dusk.	0.846805
Creon.	0.653613
dandy.	0.653613
no-no.	0.653613
Fiats.	0.653613
crows.	0.653613
Rings.	0.653613
1/rev.	0.653613
inniu.	0.653613
1 p.m.	0.653613
Zojax.	0.653613
8 a.m.	0.653613
S.p.A.	0.653613
7 a.m.	0.653613
11a.m.	0.653613
6 p.m.	0.653613
Katif.	0.653613
1860s.	0.653613
pod.	0.585281
EMFs.	0.544620
off-side.	0.480902
alike.	0.459167
brim.	0.423402
OIV.	0.400864
Unasur.	0.380127
Litvina.	0.360676
hogwash.	0.360676
unities.	0.360676
stools.	0.343808
1.6b.	0.326806
EBCU.	0.326806
naar.	0.326806
1.4b.	0.326806
MUDr.	0.326806
Orne.	0.326806
353m.	0.326806
20°S.	0.326806
tint.	0.326806
Mini.	0.326806
ODAs.	0.326806
CECA.	0.326806
SEIs.	0.326806
Qâzi.	0.326806
fest.	0.326806
SAFO.	0.326806
seul.	0.326806
Elst.	0.326806
UMIS.	0.326806
Aman.	0.326806
-12º.	0.326806
80°F.	0.326806
Writ.	0.326806
Palm.	0.326806
'39a.	0.326806
expo.	0.326806
'18a.	0.326806
NGAs.	0.326806
NICs.	0.326806
CEPA.	0.326806
ENPA.	0.326806
ECSO.	0.326806
EPSD.	0.326806
Hata.	0.326806
HPAI.	0.326806
EOTC.	0.326806
ERIO.	0.326806
£78m.	0.326806
Eser.	0.326806
Beye.	0.326806
rien.	0.326806
Cube.	0.326806
comm.	0.326806
Sors.	0.326806
IEAE.	0.326806
Arko.	0.326806
152a.	0.326806
alde.	0.326806
275m.	0.326806
conf.	0.326806
DISK.	0.326806
£32m.	0.326806
Lodz.	0.326806
Bryk.	0.326806
lily.	0.326806
Outs.	0.326806
teas.	0.326806
AIMF.	0.326806
FASS.	0.326806
ford.	0.326806
nude.	0.326806
CLIO.	0.326806
130t.	0.326806
Kern.	0.326806
HRAD.	0.326806
TIme.	0.326806
€25m.	0.326806
Oils.	0.326806
THMs.	0.326806
Arce.	0.326806
Pápa.	0.326806
‘20a.	0.326806
SAON.	0.326806
Zhol.	0.326806
byth.	0.326806
Tanh.	0.326806
Econ.	0.326806
IIAs.	0.326806
MEPP.	0.326806
£2bn.	0.326806
rasa.	0.326806
aqui.	0.326806
anam.	0.326806
CREA.	0.326806
30°C.	0.326806
‘e.g.	0.326806
wisp.	0.326806
TGVs.	0.326806
oooh.	0.326806
Njet.	0.326806
MEUC.	0.326806
TESS.	0.326806
IPGs.	0.326806
KRAV.	0.326806
Lely.	0.326806
cu.m.	0.326806
fête.	0.326806
dugs.	0.326806
1p.m.	0.326806
NCAP.	0.326806
Klan.	0.326806
Lola.	0.326806
brio.	0.326806
Yala.	0.326806
ECOR.	0.326806
Dolj.	0.326806
dítě.	0.326806
gown.	0.326806
505m.	0.326806
EADP.	0.326806
24bn.	0.326806
Riis.	0.326806
Bhuj.	0.326806
Slam.	0.326806
Idea.	0.326806
Pooh.	0.326806
2.5G.	0.326806
Gaľo.	0.326806
Peas.	0.326806
Jove.	0.326806
ESST.	0.326806
síud.	0.326806
thud.	0.326806
‘18a.	0.326806
ESFS.	0.326806
BUTS.	0.326806
't's.	0.326806
MMSs.	0.326806
Amen.	0.326806
HDTV.	0.326806
ATCN.	0.326806
TECH.	0.326806
Glas.	0.326806
Eton.	0.326806
Knin.	0.326806
IFAD.	0.326806
flan.	0.326806
Pacs.	0.326806
163m.	0.326806
WTOs.	0.326806
no's.	0.326806
€50m.	0.326806
Vigο.	0.326806
Zafy.	0.326806
Nhan.	0.326806
NCRV.	0.326806
Saíz.	0.326806
Mane.	0.326806
craw.	0.326806
Reap.	0.326806
capo.	0.326806
Zepa.	0.326806
ESDC.	0.326806
Lits.	0.326806
ROAS.	0.326806
Bigs.	0.326806
SDRs.	0.326806
SOMS.	0.326806
tether.	0.318338
zlotys.	0.240451
Bethel.	0.240451
pedals.	0.240451
heyday.	0.240451
queasy.	0.240451
pauper.	0.240451
unread.	0.240451
pranks.	0.240451
Torneå.	0.240451
Parada.	0.240451
packer.	0.240451
Rennes.	0.240451
whodunit.	0.234391
View.	0.215313
tote.	0.215313
cubes.	0.155761
Álava.	0.155761
Gable.	0.155761
totem.	0.155761
torts.	0.155761
TRIMs.	0.155761
Condé.	0.155761
Hello.	0.155761
aspic.	0.155761
Stolz.	0.155761
rabbi.	0.155761
floes.	0.155761
Knox.	0.147470
Site.	0.147470
fiascos.	0.139841
Chiasso.	0.139841
chariot.	0.139841
unionise.	0.132685
over-run.	0.132685
wayside.	0.131110
gunge.	0.120225
Serov.	0.120225
Dagda.	0.120225
scris.	0.120225
mikes.	0.120225
'uses.	0.120225
aretz.	0.120225
cocky.	0.120225
PRGFs.	0.120225
Canna.	0.120225
kapos.	0.120225
IFRIC.	0.120225
FRDPs.	0.120225
Mahon.	0.120225
N.C.O.	0.120225
LARGE.	0.120225
Tacna.	0.120225
Jauna.	0.120225
e-lex.	0.120225
Leite.	0.120225
tares.	0.120225
a.k.a.	0.120225
Rider.	0.120225
buggy.	0.120225
Janes.	0.120225
r.p.m.	0.120225
andII.	0.120225
Duffy.	0.120225
Atefi.	0.120225
gruel.	0.120225
isles.	0.120225
Beria.	0.120225
fóill.	0.120225
Oruro.	0.120225
Kyril.	0.120225
Folly.	0.120225
Jaunt.	0.120225
jemmy.	0.120225
scrum.	0.120225
Tulsa.	0.120225
Nighy.	0.120225
fasts.	0.120225
lakum.	0.120225
argot.	0.120225
Nadal.	0.120225
snobs.	0.120225
Vigeo.	0.120225
soyuz.	0.120225
Hicks.	0.120225
Teima.	0.120225
soups.	0.120225
114/t.	0.120225
Anbar.	0.120225
O.D.P.	0.120225
Kastl.	0.120225
M.S.S.	0.120225
Dewey.	0.120225
midge.	0.120225
Aloud.	0.120225
Zulia.	0.120225
Kolui.	0.120225
Casta.	0.120225
Siano.	0.120225
Hebei.	0.120225
AMRIE.	0.120225
Mofaz.	0.120225
Q400s.	0.120225
Basso.	0.120225
UMTSs.	0.120225
50kWe.	0.120225
shoal.	0.120225
maior.	0.120225
0.8oC.	0.120225
oomph.	0.120225
reget.	0.120225
R-o-o.	0.120225
Matra.	0.120225
0.9ºC.	0.120225
Safor.	0.120225
Lahud.	0.120225
Dubón.	0.120225
Greib.	0.120225
Dehli.	0.120225
Karri.	0.120225
Jalta.	0.120225
monti.	0.120225
ukase.	0.120225
-40ºC.	0.120225
8 p.m.	0.120225
Lunda.	0.120225
F.I.R.	0.120225
Zarai.	0.120225
rupee.	0.120225
Ahwaz.	0.120225
Uladh.	0.120225
Noltz.	0.120225
Sebej.	0.120225
whens.	0.120225
Rosas.	0.120225
muffs.	0.120225
Ciney.	0.120225
askew.	0.120225
Getxo.	0.120225
Lepse.	0.120225
punts.	0.120225
Maima.	0.120225
fiord.	0.120225
samba.	0.120225
Kolev.	0.120225
EULAC.	0.120225
N.F.S.	0.120225
Jóska.	0.120225
trice.	0.120225
toask.	0.120225
Rasov.	0.120225
belge.	0.120225
Racas.	0.120225
Gheit.	0.120225
Raahe.	0.120225
'laws.	0.120225
FINUL.	0.120225
Barca.	0.120225
COMIT.	0.120225
RASEP.	0.120225
Kunas.	0.120225
tiffs.	0.120225
Veivo.	0.120225
chaps.	0.120225
2.5°C.	0.120225
corns.	0.120225
agley.	0.120225
Blida.	0.120225
EQUAM.	0.120225
Stear.	0.120225
Jewry.	0.120225
Leaky.	0.120225
Amish.	0.120225
jenny.	0.120225
lofts.	0.120225
Akuyu.	0.120225
Layer.	0.120225
froid.	0.120225
Viseu.	0.120225
Romes.	0.120225
barer.	0.120225
Teplý.	0.120225
admin.	0.120225
Kansu.	0.120225
aliud.	0.120225
Vinka.	0.120225
UNHRA.	0.120225
diver.	0.120225
R.A.L.	0.120225
Mousa.	0.120225
EILUs.	0.120225
Goerg.	0.120225
AGAIN.	0.120225
WATER.	0.120225
Ye'Or.	0.120225
n.e.c.	0.120225
Wilno.	0.120225
Josés.	0.120225
sills.	0.120225
clams.	0.120225
enema.	0.120225
Torne.	0.120225
USAir.	0.120225
CO2eq.	0.120225
OTCHA.	0.120225
Mureş.	0.120225
A.M.I.	0.120225
LRTMS.	0.120225
Nemos.	0.120225
