Sr.	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
Sra.	9371940060563200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
Sres.	3632280434963039600000000000000000000000000000000000000000000000000000000.000000
etc.	39659642564615825000000000000000000000000000000000000000000.000000
Sras.	1996361644896711000000000000000000000000000.000000
Dr.	9385221841870467000000000000000000.000000
Vd.	640609321109939500000000.000000
R.U.	84997095117082910000000.000000
núm.	1432233556991533600000.000000
núms.	271499856947636600000.000000
Srta.	217128431256.105260
p.m.	1111879364.281016
UE-EE.UU.	907493681.510681
-Sr.	134636854.785846
NN.UU.	126916338.415356
Dra.	5520259.866252
ej.	4027800.093978
cf.	1740676.964181
EE.UU.	799104.278929
art.	215943.741969
W.	42586.165497
p.	36441.374916
Srs.	17055.033485
-Sra.	8796.439747
Mrs.	5365.431031
pág.	2516.911307
W.G.	2516.911307
U.E.	2516.911307
N.V.	2516.911307
a.C.	1643.932520
Km.	739.060228
Ud.	661.371270
Doc.	518.103478
UU.	335.586963
mill.	291.965895
S.A.	262.354417
a.m.	243.304893
U.S.	243.304893
Autor.	210.353471
EE.	207.300896
S.E.M.	107.408250
Prof.	89.506868
d.C.	71.605489
H.G.	71.605489
gr.	53.704112
Cf.	53.704112
Autora.	39.513287
Vds.	19.756639
srs.	19.756639
D.C.	19.756639
kgs.	19.756639
cfr.	19.756639
Kg.	17.455292
Dª.	13.171092
Tm.	13.171092
sr.	13.171092
St.	7.481183
Sta.	4.845374
mgs.	4.845374
A.Q.	4.845374
grs.	4.845374
rev.	4.845374
k.o.	4.845374
r.o.	4.845374
Inc.	4.845374
n.v.	4.845374
J.P.	4.845374
J.K.	4.845374
S.O.S.	4.726636
I.V.A.	2.673770
Sp.	2.422687
ss.	2.422687
ºF.	2.422687
-R.	2.422687
-p.	2.422687
-Doc.	1.782513
UNDP.	1.782513
p.ej.	1.782513
nr.	1.598567
spp.	1.156089
NOX.	1.156089
Cheba.	1.037594
etcétera.	0.907685
-cf.	0.891257
T.G.	0.891257
T.D.	0.891257
Div.	0.891257
jus.	0.891257
P.E.	0.891257
RIV.	0.891257
i.e.	0.891257
E.M.	0.891257
W.B.	0.891257
S.S.	0.891257
A.J.	0.891257
A.L.	0.891257
num.	0.891257
B.A.	0.891257
Cía.	0.891257
D.R.	0.891257
C.N.	0.891257
C.H.	0.891257
R.W.	0.891257
R.D.	0.891257
-Vd.	0.891257
H.C.	0.891257
c.c.	0.891257
S.p.A.	0.655750
Pamir.	0.655750
Excmo.	0.655750
CC.OO.	0.655750
doc.	0.588080
viceversa.	0.397419
nass.	0.327875
klar.	0.327875
groß.	0.327875
nums.	0.327875
cuco.	0.327875
E.UU.	0.327875
AFAS.	0.327875
-cfr.	0.327875
Brök.	0.327875
H.-P.	0.327875
Fust.	0.327875
Sira.	0.327875
-J.P.	0.327875
Mose.	0.327875
haar.	0.327875
dhuibh.	0.241237
Exacto.	0.241237
rubios.	0.241237
uníos.	0.156460
P.I.B.	0.156460
Dreyfus.	0.140423
aprox.	0.120618
hisba.	0.120618
N.F.S.	0.120618
P.C.G.	0.120618
r.p.m.	0.120618
Q.I.S.	0.120618
Sidra.	0.120618
hiede.	0.120618
F.I.R.	0.120618
Bizet.	0.120618
Bomba.	0.120618
imgen.	0.120618
M.S.S.	0.120618
s.p.a.	0.120618
Rvdmo.	0.120618
E.S.A.	0.120618
truca.	0.120618
P.A.M.	0.120618
D.O.M.	0.120618
O.N.G.	0.120618
tonta.	0.115375
Landas.	0.115117
E.E.U.U.	0.088746
Prizren.	0.088746
LUCAS.	0.079588
INVEKOS.	0.063524
engañifa.	0.047198
Nenagh.	0.044373
Gruzii.	0.044373
maquis.	0.044373
birria.	0.044373
Raytox.	0.044373
verify.	0.044373
Léotar.	0.044373
Batista.	0.042349
Eurasia.	0.025217
quitanieves.	0.024021
borrajas.	0.022482
Karenni.	0.021174
Kosova.	0.020058
gobernable.	0.018016
M.E.G.A.	0.016324
terrano.	0.016324
Bolhuis.	0.016324
NcMahon.	0.016324
Vacilan.	0.016324
n.c.o.p.	0.016324
INFOSEC.	0.016324
q.e.p.d.	0.016324
E.S.S.T.	0.016324
rústico.	0.016324
sonreía.	0.016324
A.A.J.G.	0.016324
votosSr.	0.016324
monacal.	0.016324
decaerán.	0.015579
seguirnos.	0.014328
infalibles.	0.013983
incólume.	0.013704
solutions.	0.012010
pésimos.	0.008406
Bamiyan.	0.008406
actrices.	0.007790
Destruir.	0.007790
Marquesa.	0.007790
Ingushia.	0.007790
sufrirlo.	0.007790
desdeñarse.	0.006991
tolerarlos.	0.006991
olimpiadas.	0.006991
patterns.	0.006005
ayúdelos.	0.006005
rebatiré.	0.006005
EU-EE.UU.	0.006005
calmarla.	0.006005
gasífero.	0.006005
ingratas.	0.006005
Bromwich.	0.006005
Dietrich.	0.006005
venideras.	0.005692
constipado.	0.004418
ignorarlo.	0.003821
indivisa.	0.002504
impedirlo.	0.002325
Eslovacos.	0.002209
traviesas.	0.002209
Magnífico.	0.002209
espuertas.	0.002209
copiarlos.	0.002209
Agrigento.	0.002209
mugriento.	0.002209
alabarlos.	0.002209
familiaux.	0.002209
revocable.	0.002209
asertivos.	0.002209
arrincona.	0.002209
mejorarla.	0.002175
enmendarlo.	0.002108
biotécnicos.	0.001625
destruirla.	0.001255
merecerlo.	0.001138
disiparlas.	0.001054
alcanzarlos.	0.001015
germano-checa.	0.000897
