  t       p       r       f1
0.001   0,780   0,818   0,799
0.050   0,822   0,794   0,808
0.075   0,822   0,790   0,806
0.090   0,845   0,783   0,813
0.095   0,845   0,783   0,813
0.100   0,845   0,783   0,813
0.110   0,852   0,762   0,804
0.150   0,852   0,762   0,804
0.200   0,852   0,762   0,804


At t = 0.095, the following abbreviations are positives:

